index,fips,annual_mean,annual_median,annual_std,annual_90th,n_days,days_above_35,month_1_mean,month_2_mean,month_3_mean,month_4_mean,month_5_mean,month_6_mean,month_7_mean,month_8_mean,month_9_mean,month_10_mean,month_11_mean,month_12_mean,DJF,JJA,MAM,SON,days_above_12.0,days_above_25.0,days_above_35.0,B19013_001E,NAME,county_name
538,49007,3.9455486298523783,3.3,2.595578676106637,6.8,1829,0,,,,,,6.669069485549134,5.485692960573477,4.027658304659498,5.129090851851852,2.911618878136201,2.0231481444444444,2.3834703369175627,2.3834703369175627,5.209266790697675,,3.349751155067155,54,0,0,53734,"Carbon County, Utah","Carbon County, Utah"
539,49011,7.077608450390371,5.2,5.972370561544148,14.4,6148,17,13.684982965317918,5.802993697478992,3.9701862793834297,4.770846561866126,4.4751481593927895,7.009659838645419,7.287984005692599,5.793820639468691,8.449741339215686,4.916930206165704,7.585947876494024,10.996370965844402,10.288974151116951,6.692133860539846,4.399582270305393,6.968909662965382,756,152,17,101285,"Davis County, Utah","Davis County, Utah"
540,49013,5.752062011047283,4.6,4.564217242627209,9.9,9052,27,5.105519277777778,5.422959320325203,3.997076957783641,5.381807175641026,5.015152720253164,5.8469908278688525,5.897108439947781,4.777315393670886,6.354664978290367,4.049307282878412,3.9643550077720207,13.678190579234972,8.156165679867986,5.494432479020978,4.806513994845361,4.754907915766738,663,114,27,70821,"Duchesne County, Utah","Duchesne County, Utah"
541,49021,5.676628924361802,5.4,2.4792428256516565,8.2,3173,0,5.056760974910394,4.355324789682539,3.8063713173431735,7.232254084070797,6.463282430107527,7.699723248979592,6.769343150537635,5.869772992831541,6.73645605106383,5.3373597526881715,4.8786238592592595,4.416232921146953,4.617910054320988,6.740654545454546,5.75937093814433,5.598748705357143,84,1,0,63005,"Iron County, Utah","Iron County, Utah"
542,49035,8.074156639208516,6.2,6.581474217382046,15.7,48668,461,15.467629182714177,7.430209134999999,4.806257027046607,5.992206847783251,5.2273452828544515,8.241941026673134,7.579031516087182,6.353881891569142,9.284212911996066,7.108906216485078,8.497382065032514,11.164793666112564,11.46916278806934,7.382084318701192,5.336738026994457,8.280803521158854,7321,2002,461,90011,"Salt Lake County, Utah","Salt Lake County, Utah"
543,49045,6.15073677613655,4.379167,6.023850412411578,12.9,6093,34,13.032034277039848,4.30834475,3.154199801192843,4.982943227091633,4.172027199240987,9.632598362139918,7.229449231499052,4.818652540796964,8.700999784518828,4.684087292870906,4.0173088941176465,5.090777890410959,7.609010348084544,7.162852232467532,4.103562881201044,5.73254594426012,636,151,34,95545,"Tooele County, Utah","Tooele County, Utah"
544,49047,4.809931128569043,3.8,3.4936228703287133,8.196666399999977,5989,0,4.46578184060721,4.368833226495727,3.59853083044316,3.9578310588235297,3.9998734914611003,5.129321085903084,4.935371818003914,3.905049421965318,5.077630721568627,3.028233364326376,3.635605105527638,11.37703848362235,6.804996005944518,4.634371578167116,3.852226652313625,3.9250463296167246,264,17,0,67983,"Uintah County, Utah","Uintah County, Utah"
545,49049,7.050038376167114,5.8,4.986986417186886,12.2,12638,9,10.975214276051188,6.286285671875,4.107994204081633,6.187590237642586,5.685696352833638,8.400710782352942,7.881105745762713,5.7194070797773655,7.5232976653696495,5.926674809392265,6.905601415094339,9.068728428849903,8.878647412662337,7.311386117721519,5.3219337754342435,6.770717184310019,1289,220,9,91263,"Utah County, Utah","Utah County, Utah"
546,49053,5.095434957686454,4.5,2.947477021107007,8.1,3285,0,3.6139694014336916,3.8439771626984127,3.5343637992831543,7.558304044444444,8.273131917562724,7.01635802962963,5.891890032258065,4.269786577060932,5.101298318518518,4.527521949820788,3.9086560037037037,3.588172035842294,3.676641612345679,5.711986041062802,6.443277049516908,4.5126572539682535,118,9,0,71976,"Washington County, Utah","Washington County, Utah"
547,49057,6.67448968418376,5.0,5.80481972687774,13.3,5899,26,12.06332157305503,6.493106190265486,4.2516722848484845,4.2591274660421545,3.9136629240986713,6.912472298039215,6.687957780876494,5.485191332068311,9.335720625514403,4.7670200573248405,6.113854107569721,9.449982382663848,9.478027640495867,6.350494808317089,4.130935521048999,6.752283367374914,724,161,26,82291,"Weber County, Utah","Weber County, Utah"
548,50003,5.163150376784427,4.7,2.439531462125927,8.3,6935,0,6.853994117147708,5.1913063966165405,5.292803675721562,3.5255457,4.623246247877759,5.291353287719298,6.338619556876061,5.596999962648557,4.0790669859649125,4.5090364448217315,4.99865307368421,5.570936672325976,5.894771484210526,5.747226127574371,4.490912159038902,4.5287003470214,124,0,0,68558,"Bennington County, Vermont","Bennington County, Vermont"
549,50007,5.09510434096275,4.6,2.66395229767394,8.3,15248,0,6.896995875999999,5.623979054964539,5.376897397314376,3.7364145097719867,4.735372367249602,5.1059875847176075,6.183459227204784,5.648090918535127,4.146067029230769,4.746196700298953,4.153066886153846,4.811524453076923,5.769460306688417,5.664490501804124,4.624884744402985,4.352281684865414,277,19,0,89494,"Chittenden County, Vermont","Chittenden County, Vermont"
550,50021,6.6058176306196845,5.8,3.5558218210776427,11.3,7407,0,10.276766672496025,8.120196737762239,7.186278723370429,4.6345342819672135,5.201022152623212,5.447767568852459,6.840426809220986,5.970278918918919,4.702887263934426,6.245142759936407,6.556210362295082,8.090914312399356,8.854718199231614,6.09265102783726,5.684517217880086,5.838963952406706,629,0,0,62641,"Rutland County, Vermont","Rutland County, Vermont"
551,51003,7.034251942751742,6.9,2.8666582479283904,10.8,7319,0,7.345918060034306,7.398192009933775,6.504032352765321,4.573972602739726,6.024031440207972,7.576522644859812,8.625091511078287,7.359856877458396,7.334544166666667,6.063416116591928,6.625552056782334,7.527451947683109,7.428363984913793,7.862717114646465,5.95751871586476,6.6662224889460155,378,0,0,97708,"Albemarle County, Virginia","Albemarle County, Virginia"
552,51013,6.655367231638418,6.3,2.733606997150278,10.9,1416,0,7.4,6.6,6.4,5.5,6.699999999999999,7.846666666666667,8.766666666666667,6.071428571428571,5.707142857142857,5.126666666666666,5.986666666666666,7.476470588235294,7.172340425531916,7.595454545454545,6.192857142857143,5.6045454545454545,80,0,0,137387,"Arlington County, Virginia","Arlington County, Virginia"
553,51036,5.819658119658119,5.5,2.5496729979277366,9.3,936,0,5.3100000000000005,4.311111111111111,5.35,6.1899999999999995,6.1,7.55,8.045454545454545,6.57,5.42,4.71,5.675,4.022222222222222,4.575,7.409677419354838,5.88,5.239285714285714,32,0,0,65573,"Charles City County, Virginia","Charles City County, Virginia"
554,51041,5.79344262295082,5.6,2.3704414892885226,8.9,976,0,5.4,4.71,5.279999999999999,6.220000000000001,6.0200000000000005,7.4,7.645454545454545,6.15,5.18,5.18,5.24,4.990909090909091,5.032258064516129,7.083870967741936,5.84,5.2,8,0,0,95757,"Chesterfield County, Virginia","Chesterfield County, Virginia"
555,51059,7.184189157890755,6.8,2.9485856101680716,11.1875,13218,0,8.707758863892012,7.839332975694445,6.473258435654008,5.723494379459459,6.6419407058823525,7.136477357805907,8.083538533175355,6.523565615784909,6.188497834500876,6.255818740137221,7.517616477966102,9.030028206924316,8.590876912854757,7.27307342036626,6.319528171830087,6.660646967316514,851,0,0,145165,"Fairfax County, Virginia","Fairfax County, Virginia"
556,51069,7.660210361597542,7.0,3.885597602491862,12.3,6510,0,10.470171372262774,8.794663205974842,7.775502644793153,6.677669477064221,6.053169882956879,7.668777818627451,8.14658876744186,6.632096072072072,6.176523120234604,6.030872756277696,5.481320549019608,9.770888783303729,9.695585761146498,7.384836755854801,7.008714817211949,6.040960097883597,727,29,0,92443,"Frederick County, Virginia","Frederick County, Virginia"
